START,시작
ALL DISABLE,ALL DISABLE
ALL     SERVO ON,모든     서보 ON
ALL     SERVO OFF,모든     서보 OFF
POSITION,위치
STATUS,상태
REPEAT,반복
CLEAR,초기화
CONFIG,설정
EMERGENCY SIGNAL,비상 신호
INPOSITION,인포지션
ALARM,알람
SENSOR && LIMIT,센서 && 리미트
POSITION CLEAR,위치 초기화
RUN,구동
Set,설정
INPUT LIST,입력 목록
OUTPUT LIST,출력 목록
ACTIVATE,ACTIVATE
DEACTIVATE,DEACTIVATE
ANALOG INPUT LIST,아날로그 입력 목록
OUTPUT OFF,출력 끄기
CONFIGURATION,설정
Forward Information,Forward 정보
Backward Information,Backward 정보
ITEMS,목록
WARNING,경고
EVENT,이벤트
DATA,데이터
    AUTO,    주요화면
RECIPE,레시피
TEACH,수동
SETUP,셋업
STATISTICS,통계
PM,PM
EXIT,나가기
